,Levenshtein,Cyclomatic_Complexity,Cyclomatic_Complexity_Diff,Exact_Match,BLEU,ROUGE,Cosine_Similarity,Composite_Score
gen_tiny_starcoder_py,0.6849911163645462,0.25,2.588235294117647,0.0,0.013436055893273579,0.07648598475177866,0.2780534774826204,0.2582876948344846
gen_starcoder2_3b,0.280655432080589,0.6428571428571429,1.2352941176470589,0.0,0.06214063900446159,0.1387724641163609,0.303148227545068,0.34733254411268805
gen_starcoder2_7b,0.36509002792788825,1.2142857142857142,1.2941176470588236,0.0,0.1562511666022255,0.2513626401849915,0.4213647345348629,0.37681251555767764
gen_starcoder2_15b,0.5112573185166709,1.875,1.0,0.0,0.255880263795958,0.3881245315365213,0.6216518633277588,0.41618787939888297
