,Levenshtein,Cyclomatic_Complexity,Cyclomatic_Complexity_Diff,Exact_Match,BLEU,ROUGE,Cosine_Similarity,Composite_Score
gen_tiny_starcoder_py,0.5886275259697542,0.02564102564102564,0.016666666666666666,0.0,0.11960288871568245,0.27983180579421324,0.49225920254767436,0.3428122026827962
gen_starcoder2_3b,0.4436337098234402,0.1,0.0,0.0,0.31664907891071264,0.4880821759561236,0.6509683551496708,0.44775323586439275
gen_starcoder2_7b,0.41465277448080834,0.12195121951219512,0.0,0.0,0.3834320577458147,0.5632961307894765,0.7000184126584947,0.4800729690503214
gen_starcoder2_15b,0.4666087436128879,0.21875,-0.03333333333333333,0.0,0.3710008259336233,0.583154953068007,0.7654419148029634,0.48156256740330006
